accommod,unit,hotelsize,geo\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 
BEDPL,PC,100-249,BG	38.9 	39.4 	38.6 	38.5 	33.7 	33.5 	34.7 	32.2 
BEDPL,PC,100-249,CY	80.8 	83.2 	87.2 	80.5 	70 	69.7 	: 	: 
BEDPL,PC,100-249,CZ	58.5 	56.8 	57.6 	56 	49.9 	49.9 	48.5 	48.6 
BEDPL,PC,100-249,DE	52.36 	52.17 	51.91 	51.16 	51.08 	50.3 	49.1 	48.2 
BEDPL,PC,100-249,EA	58.85 	: 	: 	: 	: 	: 	: 	: 
BEDPL,PC,100-249,EL	: 	64.4 	64.1 	61.1 	59.3 	56.8 	53.8 	52.6 
BEDPL,PC,100-249,ES	67.16 	67.58 	68.63 	67.45 	64.28 	62.4 	60.8 	60 
BEDPL,PC,100-249,EU27_2007	58.28 	: 	: 	: 	: 	: 	: 	: 
BEDPL,PC,100-249,EU27_2020	58.52 	: 	: 	: 	: 	: 	: 	: 
BEDPL,PC,100-249,EU28	58.52 	: 	: 	: 	: 	: 	: 	: 
BEDPL,PC,100-249,HR	64.2 	64.6 	63.9 	63.7 	61.4 	61.1 	61.1 	60.1 
BEDPL,PC,100-249,HU	52.8 	52.1 	50.9 	48.9 	47.5 	45.7 	: 	: 
BEDPL,PC,100-249,IS	: 	: 	: 	: 	: 	44.8 	45.7 	42.3 
BEDPL,PC,100-249,LT	53 	49.8 	50.9 	48.4 	42.6 	45.4 	46.1 	44 
BEDPL,PC,100-249,LV	56.6 	59.8 	53.19 	51 	47.8 	: c	43.5 	41.9 
BEDPL,PC,100-249,MT	66 	69.1 	67.5 	65.2 	67.7 	67.6 	65.3 	54 
BEDPL,PC,100-249,NO	: 	: 	: 	42.9 	41.3 	39.4 	38.6 	39.5 
BEDPL,PC,100-249,PL	59.2 	58.2 	59.4 	60 	55.1 	50.1 	51.8 	47.2 
